studyid,Source,Year,sample,N,r,Turnover Type,Performance Dimenions,Employment System,Industry,Region,Data structure,Role of turnover rates,Journal Quality
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.419999987,Involuntary,Workforce Perf,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.519999981,Involuntary,Financial Perf,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.469999999,Involuntary,Financial Perf,All,Banking,US,Cross-sectional,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.349999994,Involuntary,Workforce Perf,All,Banking,US,Cross-sectional,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.649999976,Involuntary,Customer satisfaction,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.360000014,Involuntary,Financial Perf,All,Banking,US,Lagged perf,IV,Top-journal
78,78|Guthrie et al. ,2010,US manufacturing firms (archival data),124,0.07,Involuntary,Financial Perf,All,Manufacturing,US,Cross-sectional,DV,Non-top-journal
78,78|Guthrie et al. ,2010,US manufacturing firms (archival data),124,-0.100000001,Involuntary,Financial Perf,All,Manufacturing,US,Cross-sectional,DV,Non-top-journal
83,83|Batt & Colvin ,2011,US call centers in the telecommunications industry,339,-0.119999997,Involuntary,Customer satisfaction,Secondary,Service,US,Panel,Mediator,Top-journal
109,109|Chi & Wang ,2009,Chinese firms,8291,0.00605,Involuntary,Workforce Perf,Executive,Multiple,Asia,Panel,DV,Non-top-journal
109,109|Chi & Wang ,2009,Chinese firms,8291,-0.052000001,Involuntary,Financial Perf,Executive,Multiple,Asia,Panel,DV,Non-top-journal
110,110|Simon et al. ,2012,Establishments in Spanish fashion retail group,232,0.340000004,Involuntary,Workforce Perf,All,MultipleBanking,Europe,Panel,IV,Non-top-journal
110,110|Simon et al. ,2012,Establishments in Spanish fashion retail group,232,0.400000006,Involuntary,Financial Perf,All,MultipleBanking,Europe,Panel,IV,Non-top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.730000019,Layoff,Financial Perf,All,Banking,US,Cross-sectional,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.75,Layoff,Customer satisfaction,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.800000012,Layoff,Financial Perf,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.310000002,Layoff,Workforce Perf,All,Banking,US,Cross-sectional,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.709999979,Layoff,Financial Perf,All,Banking,US,Lagged perf,IV,Top-journal
26,26|McElroy et al. ,2001,Units of a national financial services company (mortgage banking),31,-0.449999988,Layoff,Workforce Perf,All,Banking,US,Lagged perf,IV,Top-journal
57,57|Guthrie & Datta ,2008,Publicly traded firms (Compustat),122,-0.289999992,Layoff,Financial Perf,All,Manufacturing,US,Lagged perf,IV,Top-journal
80,80|Krishnan et al. ,2007,US firms that experienced acquisition during the period 1992-98 (from SDC database),174,-0.409999996,Layoff,Financial Perf,All,Multiple,US,Lagged perf,Mediator,Non-top-journal
82,82|Zatzick & Iverson ,2006,Workplace and Employee Survey (WES),2993,-0.135000005,Layoff,Financial Perf,All,Multiple,US,Lagged perf,Moderator,Top-journal
83,83|Batt & Colvin ,2011,US call centers in the telecommunications industry,339,0.209999993,Layoff,Customer satisfaction,Secondary,Service,US,Panel,Mediator,Top-journal
88,88|Nixon et al. ,2004,U.S. firms announced downsizing between 1990-1998. From COMPUSTAT and CRSP,364,-0.100000001,Layoff,Financial Perf,All,Multiple,US,Cross-sectional,IV,Top-journal
89,89|Sheaffer et al. ,2009,Firms traded on the Tel Aviv Stock Exchange (TASE),196,0.050000001,Layoff,Financial Perf,All,Multiple,Europe,Cross-sectional,IV,Non-top-journal
89,89|Sheaffer et al. ,2009,Firms traded on the Tel Aviv Stock Exchange (TASE),196,0.150000006,Layoff,Financial Perf,All,Multiple,Europe,Cross-sectional,IV,Non-top-journal
89,89|Sheaffer et al. ,2009,Firms traded on the Tel Aviv Stock Exchange (TASE),196,0.119999997,Layoff,Financial Perf,All,Multiple,Europe,Cross-sectional,IV,Non-top-journal
90,90|Goins & Gruca ,2008,U.S. petroleum industry firms,57,-0.094999999,Layoff,Financial Perf,All,MultipleEducation,US,Lagged perf,IV,Non-top-journal
105,105|Chadwick et al. ,2004,Hospitals in the US,58,-0.07,Layoff,Financial Perf,Primary,Hospital,US,Cross-sectional,Control,Top-journal
105,105|Chadwick et al. ,2004,Hospitals in the US,58,-0.07,Layoff,Financial Perf,Primary,Hospital,US,Lagged perf,Control,Top-journal
107,107|Trevor & Nyberg ,2008,Employee-friendly companies submitted to Fortune,267,-0.270000011,Layoff,Employee work attitudes,Primary,Multiple,US,Cross-sectional,IV,Top-journal
822,822|Subramony & Holtom ,2011,64 Regional offices of a temporary help services (THS) firm in the US,64,-0.519999981,Layoff,Workforce Perf,Primary,Service,US,Lagged perf,IV,Non-top-journal
822,822|Subramony & Holtom ,2011,64 Regional offices of a temporary help services (THS) firm in the US,64,0.479999989,Layoff,Customer satisfaction,Primary,Service,US,Lagged perf,IV,Non-top-journal
822,822|Subramony & Holtom ,2011,64 Regional offices of a temporary help services (THS) firm in the US,64,-0.075000003,Layoff,Customer satisfaction,Primary,Service,US,Lagged perf,IV,Non-top-journal
1,1|Arthur ,1994,US steel minimills,28,-0.079999998,Total,Workforce Perf,Primary,Manufacturing,US,Cross-sectional,IV,Top-journal
