StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10-14_1,Q10-14_2,Q10-14_3,Q10-14_4,Q10-14_5,Q15-18_1,Q15-18_2,Q15-18_3,Q15-18_4,Q19-24_1,Q19-24_2,Q19-24_3,Q19-24_4,Q19-24_5,Q19-24_6,Q25-29_1,Q25-29_2,Q25-29_3,Q25-29_4,Q25-29_5,Q30-34_1,Q30-34_2,Q30-34_3,Q30-34_4,Q30-34_5,Q35,Q36,Q37,Q38-41_1,Q38-41_2,Q38-41_3,Q38-41_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In years, please indicate how old you are.",What is your race/ethnicity?,What is your sex?,What is your annual household income?,"How many dependents do you have? (if you have none, please enter a zero.)",What is your relationship status?,What is your current level of education?,What is your current employment status?,Please indicate well each of the following statements describes you. - The amount of personal growth and development I get in doing my job.,Please indicate well each of the following statements describes you. - The feeling of worthwhile accomplishment I get from doing my job.,Please indicate well each of the following statements describes you. - The amount of independent thought and action I can exercise in my job.,Please indicate well each of the following statements describes you. - The amount of challenge in my job.,Please indicate well each of the following statements describes you. - The amount of pay and fringe benefits I receive.,Please indicate how much you agree with the following statements. - Your job reduces the effort you can give to activities at home,Please indicate how much you agree with the following statements. - Responsibilities at home reduce effort you can devote to your job.,Please indicate how much you agree with the following statements. - The things you do at work help you deal with personal and practical issues at home.,Please indicate how much you agree with the following statements. - Your home life helps you relax and feel ready for the next day’s work.,Please indicate how much each of the following characteristics describes you. - Organized,Please indicate how much each of the following characteristics describes you. - Disciplined,Please indicate how much each of the following characteristics describes you. - Industrious,Please indicate how much each of the following characteristics describes you. - Thrifty,Please indicate how much each of the following characteristics describes you. - Sloppy,Please indicate how much each of the following characteristics describes you. - Careless,Please indicate how much each of the following characteristics describes you. - Relaxed,Please indicate how much each of the following characteristics describes you. - Calm,Please indicate how much each of the following characteristics describes you. - Self-confident,Please indicate how much each of the following characteristics describes you. - Moody,Please indicate how much each of the following characteristics describes you. - Jealous,"Please indicate the extent to which the following
attributes apply to you: - Imaginative","Please indicate the extent to which the following
attributes apply to you: - Shallow","Please indicate the extent to which the following
attributes apply to you: - Well-educated","Please indicate the extent to which the following
attributes apply to you: - Creative","Please indicate the extent to which the following
attributes apply to you: - Complex","I will probably look for a new job in the near
future.","I do not
intend to quit my job.",I am not thinking about quitting my job at the present time.,"In comparison to your colleagues, how often do you do the following? - Attends functions that are not required but that help the organization’s image.","In comparison to your colleagues, how often do you do the following? - Defends the organization when other employees feel welcome in the work group.","In comparison to your colleagues, how often do you do the following? - Adjusts his/her work schedule to accommodate other employees’ requests for time off.","In comparison to your colleagues, how often do you do the following? - Goes out of the way to make newer employees feel welcome in the work group."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_18""}"
2/26/2020 14:10,2/26/2020 14:32,IP Address,157.182.144.242,100,100,TRUE,2/26/2020 14:32,R_2rCMIgQOhShJjgN,,,,,39.6519928,-79.94439697,anonymous,EN,38,2,Male,98118,2,2,Separated,7,2,4,2,2,1,2,2,1,2,2,1,1,5,4,1,1,4,1,3,3,3,2,4,5,3,3,7,6,3,3,1,5
2/23/2020 12:39,2/23/2020 12:39,IP Address,73.236.134.121,100,703,TRUE,3/1/2020 12:40,R_3pscJIVyZJNJgOj,,,,,,,anonymous,EN,29,1,Female,80983,2,3,Divorced,7,5,1,4,4,1,2,4,1,4,3,4,1,2,3,5,2,2,2,2,4,1,1,2,4,3,1,3,7,6,3,5,2
3/1/2020 17:42,3/1/2020 17:42,IP Address,73.236.111.101,100,547,TRUE,3/8/2020 18:54,R_269DRjyZzG1GPOU,,,,,,,anonymous,EN,62,1,Male,93461,5,1,Never married,7,5,1,2,5,2,5,3,1,4,2,5,1,1,2,5,4,2,3,1,4,5,2,1,3,5,1,2,4,5,7,5,3
3/9/2020 13:09,3/9/2020 13:11,IP Address,67.163.168.143,93,737,FALSE,3/9/2020 13:11,R_2aQxs9S0mhReW5D,,,,,39.6519928,-79.94439697,anonymous,EN,62,2,Male,66802,3,5,Married,7,4,,1,4,3,1,3,1,4,1,2,5,4,1,2,1,,4,5,4,,4,3,2,4,2,5,4,6,2,7,7
3/9/2020 13:09,3/9/2020 13:12,IP Address,107.77.223.95,100,737,TRUE,3/9/2020 13:12,R_2DOyQnt6TvVWwS7,,,,,40.706604,-74.20269775,anonymous,EN,64,1,Male,104696,0,5,Married,7,5,3,4,2,2,4,5,2,4,3,2,2,1,1,3,4,5,3,4,2,2,5,3,2,4,6,5,3,5,2,7,7
3/9/2020 13:11,3/9/2020 13:14,IP Address,174.229.3.254,100,95,TRUE,3/9/2020 13:14,R_piTeWh0wf5DLOY9,,,,,40.42950439,-80.01519775,anonymous,EN,44,2,Female,64358,0,3,Divorced,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
3/9/2020 13:12,3/9/2020 13:16,IP Address,157.182.253.222,100,533,TRUE,3/9/2020 13:16,R_1qU2aZAUKStmMOs,,,,,39.6519928,-79.94439697,anonymous,EN,47,1,Female,114337,5,3,Divorced,7,1,2,4,3,5,4,2,2,2,4,3,2,4,2,4,2,2,4,2,5,5,4,4,1,3,6,5,3,2,7,1,7
3/9/2020 13:15,3/9/2020 13:18,IP Address,157.182.253.183,100,694,TRUE,3/9/2020 13:18,R_3Rt58wOd9nl8LOF,,,,,39.6519928,-79.94439697,anonymous,EN,38,1,Female,89529,4,1,Never married,7,4,5,3,3,3,5,3,1,2,4,3,3,3,5,5,2,1,5,3,2,3,4,2,1,4,4,3,2,3,5,6,1
