employeeID,Gender,Age,Performance,OCB,WLB,Stress,turnoverIntention
1_1_1,1,36.97,5.85,3.64,5.58,3.59,2.23
1_1_2,2,31.04,6.43,4.41,5.68,4.75,3.21
1_1_3,2,23.93,6.01,3.9,5.87,2.93,3.28
1_1_4,1,30.88,4.96,4.03,5.47,4.25,3.03
1_1_5,1,38.59,9.03,4.84,4.99,5.31,2.55
1_1_6,1,35.49,9.32,4,5.48,4.62,2.7
1_1_7,2,30.35,6.31,4.63,5.1,3.86,3.21
1_1_8,1,28.37,6.55,3.9,5.05,3.17,3.43
1_1_9,2,31.79,6.82,5.02,4.51,5.12,2.98
1_1_10,2,29.29,6.27,3.96,5.23,4.53,2.84
1_2_11,1,29.27,5.54,4.35,5.38,4.52,3.25
1_2_12,2,31.41,7.65,4.83,5.32,4,2.98
1_2_13,2,30.28,8.37,4.17,5.07,4.07,2.75
1_2_14,2,28.44,7.4,3.65,5.53,3.47,2.53
1_2_15,1,33.65,6.3,3.74,5.53,3.3,2.65
1_2_16,1,36.35,5.21,2.89,5.73,4.94,2.36
1_2_17,2,25.15,7.1,3.75,5.33,4.42,2.34
1_2_18,1,38.54,8.08,4.43,5.35,4.32,3.16
1_2_19,2,30.91,6.73,4.18,5.28,4.13,3.37
1_2_20,1,27.88,7.63,3.87,5.16,4.39,2.74
2_1_21,2,24.57,8.26,4.16,5.39,3.48,3.4
2_1_22,1,35.8,6.28,3.54,5.49,4.76,2.8
2_1_23,2,38.93,9.93,5.25,4.84,3.95,2.56
2_1_24,2,44.95,8.71,3.89,4.24,3.13,2.67
2_1_25,2,30.24,7.78,4.37,4.8,4.9,3.22
2_1_26,1,28.1,4.9,3.6,5.9,3.87,2.96
2_1_27,2,30.52,7.22,3.64,5.27,4.37,2.46
2_1_28,2,35.07,7.65,4.22,5.35,3.85,3.03
2_1_29,1,32.84,5.38,3.39,5.73,5.46,2.45
2_1_30,2,45.3,8.79,4.53,5.38,3.16,1.68
2_2_31,1,28.58,7.04,3.71,5.32,4.75,3.1
2_2_32,2,38.19,6.34,3.85,5.32,3.83,2.38
2_2_33,1,37.99,6.46,3.78,5.23,5.88,2.74
2_2_34,1,40.47,8.61,4.35,4.95,3.54,2.31
2_2_35,2,27.86,8.5,4.01,5.38,2.71,3.3
2_2_36,2,37.53,6.9,3.72,5.11,4.8,3.03
2_2_37,1,34.35,7.55,4.53,5.59,5.23,2.84
2_2_38,2,24.44,4.38,4.11,4.93,5.2,3.48
2_2_39,1,38.55,7.08,3.75,5.49,3.44,2.6
2_2_40,2,32.9,7.55,3.62,5.09,3.9,2.42
