"Art
ID","Sample
ID",N,r
1,1,26.66666667,-0.143375
2,1,262,-0.184
3,1,26.5,-0.117735849
4,1,816,-0.12
5,1,326,-0.1
8,1,110,-0.23
9,1,30,-0.498333333
11,1,38,-0.256666667
12,1,120,-0.035
12,2,335.6,-0.062890346
13,1,33,-0.038636364
14,1,325,-0.2438
15,1,114,-0.205
16,1,75,-0.314
17,1,149,0.013
18,1,7118,-0.0025
19,1,2476,-0.0025
20,1,38,0.357
21,1,78,-0.09
22,1,268,-0.0265
23,1,330,0.035
23,2,301,0.055
24,1,241,-0.035
25,1,2359,-0.0025
26,1,1900,-0.00925
29,1,73,-0.01
31,1,49,-0.16
32,1,350.5,-0.081513077
33,1,33,-0.25
34,1,82,0.01
35,1,265,-0.068333333
36,1,366,-0.0535
37,1,702,-0.1
38,1,1036,0.023322211
39,1,113,-0.049166667
40,1,1164,0.014
41,1,131,-0.1125
42,1,365,-0.17
42,2,249,-0.108012048
43,1,339,-0.15
44,1,21,0.102380952
45,1,64,-0.09
46,1,451,-0.21
47,1,416,-0.042
48,1,21,-0.48
49,1,89,-0.01
50,1,416,0.01
51,1,252,-0.12
