N,r
26,-0.192334412
28,-0.166172681
40,-0.316318972
42,-0.150505131
45,0.161124555
51,0.154566514
52,-0.08026985
56,-0.417946455
65,-0.451591585
70,-0.200736735
71,0.040218263
77,-0.216959872
82,0.096323447
83,-0.200737777
85,-0.40049551
93,-0.604269344
96,-0.504173831
97,-0.513656695
98,0.152714722
98,-0.054952689
100,-0.176459248
100,-0.476924227
101,-0.279361548
106,-0.227426944
106,-0.241405246
106,-0.276161289
107,-0.305960696
108,-0.087741971
109,0.110253449
112,-0.233843122
112,-0.329891652
112,-0.389820806
115,-0.199731887
119,-0.419510223
119,-0.339271258
121,-0.970144871
121,-0.234796143
122,-0.065899786
125,-0.127204813
128,-0.55867911
129,-0.522050548
130,-0.346805389
131,-0.35625597
133,-0.25
136,-0.114970671
140,-0.210942661
141,-0.148231101
142,-0.338948955
144,-0.072439787
145,0.027476345
146,-0.329716135
148,0.247170025
148,-0.279414533
150,-0.105659331
152,-0.251920552
153,-0.743755245
154,-0.161483178
156,-0.280705432
157,-0.270832277
158,-0.155868271
158,-0.014401518
158,-0.289131127
159,-0.13788024
160,-0.39446366
160,-0.045943534
162,-0.081049392
166,-0.452096702
167,-0.262189082
172,-0.508506764
176,-0.22588808
177,-0.043204553
177,-0.313538496
180,-0.105659331
183,0.088115196
188,-0.037603702
190,0.085226918
190,-0.099431405
190,0.091887068
191,-0.026812065
192,-0.105659331
193,0.169076338
197,-0.180565103
197,-0.075534807
200,-0.468398539
203,-0.343248528
205,0.148254573
205,-0.192497879
208,-0.41333433
208,-0.448324027
210,-0.230110303
213,-0.267576413
215,-0.273444416
217,-0.100197023
218,-0.423433839
219,-0.389874761
225,-0.714388757
228,-0.488792307
232,-0.15042527
234,-0.201405694
234,-0.3733564
234,-0.448601089
235,-0.589664159
238,-0.145245104
240,-0.176459248
244,-0.087847698
244,-0.198993689
244,-0.669992809
244,-0.307279738
249,-0.317214705
250,-0.359241725
256,-0.392081946
260,-0.199088647
264,-0.405329901
265,-0.36339241
266,-0.346720889
279,-0.236106082
295,-0.187656076
299,-0.392434127
302,-0.090869328
305,-0.33895741
306,-0.194859643
306,-0.24942249
307,-0.21600414
310,-0.075758397
312,-0.197139821
320,-0.313654696
339,-0.213412981
339,-0.398869036
353,-0.289959057
365,-0.226091952
368,-0.479752622
390,-0.324895634
402,-0.346796094
406,-0.068919261
410,-0.157164165
415,-0.042309992
422,-0.339186332
440,-0.19475943
440,-0.259127449
443,-0.285042308
445,-0.225521078
464,-0.341411971
538,-0.282035976
615,-0.137830602
641,-0.171433995
651,-0.185988663
660,-0.255875303
692,-0.632393808
704,-0.266238674
750,-0.188868351
777,-0.227708553
777,-0.531000473
826,-0.412884079
829,-0.142956707
851,-0.134467433
895,-0.382862783
1058,-0.336098221
1091,-0.207803946
1106,-0.154526139
1142,-0.126791197
1169,-0.490197263
1395,-0.167637263
1886,-0.462852558
1898,-0.082982927
2070,-0.242555382
2439,-0.254389749
3201,-0.321778704
5270,-0.074219994
5310,-0.09095997
5505,-0.303587683
5506,-0.220365677
8663,-0.197319879
9277,-0.113699962
11664,-0.306290227
