CountryofLiving,gender,mh_anxiety_1,mh_anxiety_3,weight_sample,weight_new,female
Germany,2,3,3,0.000241757,204579600,1
Germany,2,3,3,9.41396E-05,79662776,1
Germany,1,2,4,1.82114E-05,15410825,0
Germany,2,5,5,7.85E-06,6640608,1
Germany,2,4,2,0.000177006,149786288,1
Germany,2,3,4,1.72253E-05,14576420,1
Germany,2,4,4,8.45266E-05,71528032,1
Germany,1,4,2,3.90872E-05,33076374,0
Germany,2,2,2,4.716E-05,39907720,1
Germany,1,4,2,2.34557E-05,19848634,0
Germany,1,3,3,0.000103327,87436928,0
Germany,2,2,2,0.000176676,149506960,1
Germany,1,3,3,7.41569E-05,62753028,0
Germany,1,4,3,2.48733E-05,21048260,0
Germany,2,5,5,4.18807E-05,35440292,1
Germany,1,2,2,7.71009E-05,65244304,0
Germany,1,4,4,9.34E-06,7903708,0
Germany,1,3,5,0.000190074,160843968,0
Germany,1,4,1,8.20E-06,6939762.5,0
Germany,2,3,1,7.66584E-05,64869820,1
Germany,2,3,5,0.000102272,86544320,1
Germany,2,4,4,3.06109E-05,25903510,1
Germany,2,4,2,9.87574E-05,83570432,1
Germany,2,2,3,2.35265E-05,19908620,1
Germany,2,1,1,1.48782E-05,12590218,1
Germany,1,4,2,1.50773E-05,12758676,0
Germany,2,3,5,1.48782E-05,12590218,1
Germany,1,2,4,9.31279E-05,78806656,0
Germany,2,4,2,7.85E-06,6640608,1
Germany,2,3,3,0.000114775,97124960,1
Germany,2,4,2,8.23E-06,6960735,1
Germany,1,4,3,2.02057E-05,17098494,0
Germany,3,2,3,0.000247936,209807904,
Germany,2,4,3,7.66584E-05,64869820,1
Germany,2,5,3,0.000362187,306489248,1
Germany,2,3,2,0.000411036,347826880,1
Germany,1,2,4,0.000210536,178159744,0
Germany,1,2,4,3.71693E-05,31453412,0
Germany,1,4,1,0.000216257,183001232,0
Germany,2,1,1,3.63322E-05,30745002,1
Germany,2,3,4,2.03208E-05,17195846,1
Germany,1,5,3,8.70E-06,7359192.5,0
Germany,1,5,3,0.000210536,178159744,0
Germany,1,2,3,7.64E-06,6468162,0
Germany,2,4,2,1.64331E-05,13906043,1
Germany,2,3,1,1.46177E-05,12369806,1
Germany,2,4,2,7.10E-06,6012257,1
Germany,2,4,4,1.64331E-05,13906043,1
Germany,1,5,3,0.000443555,375345184,0
Germany,1,3,2,9.34E-06,7903708,0
Germany,1,3,3,4.22897E-05,35786320,0
Germany,1,1,1,7.64E-06,6468162,0
Germany,2,2,3,0.000544086,460416128,1
Germany,1,4,2,8.17528E-05,69180760,0
Germany,2,4,4,4.716E-05,39907720,1
Germany,2,3,2,1.48782E-05,12590218,1
Germany,2,5,5,7.85E-06,6640608,1
Germany,1,2,4,8.20E-06,6939762.5,0
Germany,1,1,4,9.31279E-05,78806656,0
Germany,1,2,3,9.34E-06,7903708,0
Germany,2,4,3,0.000233983,198000832,1
Germany,1,3,3,3.73525E-05,31608414,0
Germany,1,2,2,1.82114E-05,15410825,0
Germany,1,4,2,4.19371E-05,35488008,0
Germany,2,2,3,1.99995E-05,16923944,1
Germany,2,2,3,3.97336E-05,33623356,1
Germany,2,4,3,0.000292511,247528144,1
Germany,1,2,3,0.000389651,329730144,0
Germany,1,1,4,0.005125174,4337020928,0
Germany,1,1,1,1.82114E-05,15410825,0
Germany,2,3,3,3.99999E-05,33848700,1
Germany,2,3,3,7.10E-06,6012257,1
Germany,1,2,4,8.18523E-05,69264968,0
Germany,2,2,4,4.57559E-05,38719524,1
Germany,1,2,3,0.001076623,911059072,0
Germany,1,3,3,9.34E-06,7903708,0
Germany,1,4,3,3.15732E-05,26717840,0
Germany,1,2,4,9.34E-06,7903708,0
Germany,2,2,5,0.00646094,5467372544,1
Germany,2,3,2,2.74249E-05,23207476,1
Germany,1,5,3,7.64E-06,6468162,0
Germany,1,1,4,0.000168724,142777680,0
Germany,1,3,4,7.41569E-05,62753028,0
Germany,1,4,2,7.64E-06,6468162,0
Germany,2,4,3,7.10E-06,6012257,1
Germany,1,4,3,1.50773E-05,12758676,0
Germany,1,1,2,2.34557E-05,19848634,0
Germany,2,5,3,1.65294E-05,13987475,1
Germany,1,3,4,0.00047613,402910528,0
Germany,1,3,4,0.000443555,375345184,0
Germany,2,3,3,2.24446E-05,18993014,1
Germany,1,3,3,9.34E-06,7903708,0
Germany,2,2,2,2.35265E-05,19908620,1
Germany,1,2,1,1.82114E-05,15410825,0
Germany,1,3,3,7.64E-06,6468162,0
Germany,2,3,4,7.10E-06,6012257,1
Germany,1,4,2,3.90872E-05,33076374,0
Germany,1,2,1,1.71734E-05,14532500,0
Germany,2,1,2,2.35265E-05,19908620,1
Germany,2,3,2,7.6083E-05,64382860,1
Germany,1,4,4,7.64E-06,6468162,0
Germany,2,4,1,1.64331E-05,13906043,1
Germany,2,4,2,8.61668E-05,72915976,1
Germany,2,4,1,8.80856E-05,74539736,1
Germany,2,3,2,0.001137813,962839488,1
Germany,2,4,4,2.24446E-05,18993014,1
Germany,2,3,4,0.000134884,114141336,1
