"","enddate","sex","quota_age","residency","gensoctrust","trustingroups_1","trustingroups_2","trustingroups_3","trustingroups_4","trustingroups_5","trustingroups_6","trustingroups_7","trustingroups_8","trustingroups_9","trustingroups_10","trustingroups_11","trustingroups_12","trustingroups_13","covidexp","covideffect_1","covideffect_2","covideffect_3","covideffect_4","sars","cultcog_1","cultcog_2","cultcog_3","cultcog_4","cultcog_5","cultcog_6","prosocial","canadaq_1","canadaq_2","canadaq_3","finitepool_1","worrycovid19","finitepool_3","finitepool_4","finitepool_5","finitepool_6","finitepool_7","finitepool_8","longitude_1","longitude_2","longitude_3","personal_1","personal_2","personal_3","personal_4","personal_5","personal_6","personal_7","personal_8","friends_1","friends_2","friends_3","friends_4","friends_5","friends_6","friends_7","friends_8","mediaexp_1","mediaexp_2","mediaexp_3","mediaexp_4","mediaexp_5","mediaexp_6","mediaexp_7","posterstrustq1","socialmediatrustq1","journalisttrustq1","govtrustq1","workplacetrustq1","friendstrustq1","whotrustq1","soughtinfo","prep","govresponse_1","govresponse_2","govresponse_3","govresponse_4","govresponse_5","govresponse_6","govresponse_7","govresponse_8","govresponse_9","govrestrict_1","govrestrict_2","govrestrict_3","sciunderstand","knowledgecert_1","knowledgecert_2","vaccine_1","vaccine_2","num1","num2a","num2b","num3","numeracyq1","demage","demedu","demhealthcare","ethnicmin","politics"
"1","2020-03-23T10:22:19Z",2,4,"DE",2,5,4,5,4,3,2,5,4,4,4,4,4,3,8,4,4,4,1,2,3,5,3,4,5,5,6,4,2,2,5,7,5,6,5,5,4,5,6,4,1,2,4,3,2,4,3,3,4,3,3,3,3,3,3,3,3,2,2,1,1,2,1,1,NA,NA,5,6,NA,4,4,2,"1,2,4,5,6",6,5,5,6,5,6,6,6,5,2,2,2,5,3,3,1,1,25,NA,20,NA,1,50,2,2,2,6
"2","2020-03-23T10:23:28Z",2,3,"DE",4,3,4,4,3,4,4,3,4,3,3,3,3,3,8,4,3,3,4,2,4,3,5,4,5,2,5,5,4,3,4,6,5,5,5,4,5,4,5,4,5,5,4,4,5,5,5,4,4,5,4,5,4,5,4,4,4,2,1,1,2,2,1,1,NA,5,4,NA,NA,5,5,2,"1,2,3,4,5,6,7,8,9,10,11",5,5,5,5,5,5,5,5,3,4,5,4,4,6,3,1,1,15,20,NA,NA,1,45,5,2,2,3
"3","2020-03-23T10:24:01Z",2,5,"DE",4,5,4,4,3,3,3,4,3,4,2,3,4,3,8,5,3,1,1,2,3,5,2,1,5,5,5,4,4,3,2,4,5,5,4,4,4,5,3,1,1,3,5,3,4,4,5,3,5,4,5,4,4,4,4,4,5,2,1,1,1,1,1,1,NA,4,4,3,4,4,5,1,"1,4,5,6,11",6,5,5,5,5,6,5,6,5,3,2,2,4,3,3,1,1,8,25,NA,NA,1,57,3,2,2,5
"4","2020-03-23T10:24:43Z",2,4,"DE",3,5,1,4,2,1,3,5,4,4,3,4,3,5,8,4,1,4,1,2,2,6,6,1,5,5,7,5,2,2,5,6,5,5,4,7,5,6,4,4,4,4,4,5,4,5,4,5,3,2,3,4,3,4,3,3,2,1,2,1,1,1,1,1,2,NA,4,4,5,4,3,1,"1,7",7,6,6,6,6,7,5,7,4,2,2,4,5,2,3,1,1,3,5,NA,NA,1,52,2,2,1,3
"5","2020-03-23T10:25:49Z",2,6,"DE",5,5,4,4,3,3,4,5,4,5,5,4,4,4,9,1,1,1,1,2,3,3,4,3,3,4,4,5,1,1,3,3,3,3,3,3,3,3,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,NA,NA,NA,4,NA,NA,4,2,"1,2,3,4,5,6,7,8,9,10,11",7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,1,1,10,5,NA,NA,1,81,3,2,2,5
"6","2020-03-23T10:26:06Z",2,6,"DE",5,4,3,3,3,3,3,4,4,2,4,3,4,4,8,1,1,1,1,2,3,4,2,3,4,4,4,4,3,3,5,4,2,3,2,5,3,2,4,1,1,4,2,3,3,3,2,1,4,3,2,2,3,1,3,2,3,2,2,1,1,2,1,1,NA,NA,4,4,NA,5,5,2,"1,4,6,8,9,11",2,3,3,2,2,4,3,3,5,3,5,5,3,3,3,1,1,10,30,NA,NA,1,69,5,2,2,2
"7","2020-03-23T10:26:20Z",1,6,"DE",2,5,3,3,3,2,4,4,5,4,2,4,5,4,8,2,6,1,1,2,1,5,1,1,5,6,6,4,4,1,4,6,5,2,1,2,4,2,5,1,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,6,6,4,6,4,7,7,1,"1,4,5,6,10",6,6,7,2,6,6,7,3,7,1,2,2,7,1,2,1,1,10,10,NA,NA,2,74,4,2,2,3
"8","2020-03-23T10:26:31Z",1,6,"DE",4,4,4,3,2,2,3,4,3,3,3,3,3,3,8,2,2,3,1,2,2,5,2,1,5,5,6,4,3,2,5,6,3,3,3,5,4,4,4,3,2,2,1,2,2,2,2,1,4,2,5,3,3,2,3,2,5,2,2,1,1,2,1,1,NA,NA,6,5,NA,6,6,1,"1,4,5,6,7,8",5,5,6,7,6,4,4,5,5,2,3,3,6,3,3,1,1,20,35,NA,NA,1,70,2,2,2,3
"9","2020-03-23T10:28:14Z",1,6,"DE",3,5,4,5,4,2,3,5,5,5,5,4,5,5,8,1,1,1,1,2,2,6,6,2,6,6,4,5,3,1,5,7,3,7,1,7,7,7,7,7,7,7,2,2,4,3,7,4,5,6,1,1,6,5,7,7,6,1,1,1,1,2,1,1,7,7,7,7,NA,6,7,1,"1,2,4,7,8,9",7,7,7,7,7,7,7,7,7,2,NA,1,7,1,1,1,1,20,10,NA,NA,2,70,3,2,2,NA
"10","2020-03-23T10:28:15Z",2,4,"DE",4,5,3,4,3,3,1,4,3,1,1,1,3,3,8,1,2,1,1,2,4,5,3,5,5,5,4,5,3,1,1,7,7,7,7,7,4,7,7,4,1,4,3,1,4,4,4,7,3,7,4,3,3,3,3,7,3,1,1,1,1,1,1,1,7,3,2,2,4,4,5,1,"1,2,3,4,5,6,11",7,1,4,7,7,3,5,4,5,2,5,5,7,4,4,1,1,20,25,NA,NA,1,54,2,2,1,7
